placeId,name,wfc,me_time,date,family,group_study,topPurposes,detectedFacilities,reviewCount
ChIJe_EYb_3DaC4Rji8pMOmYMuA,Papuri Food Market,0,0,0,90,0,family,,27
ChIJ4R7hCUrmaC4RaUMRX-1rhIY,Paris Van Java Cafe & Resto Speciality Coffee,100,100,100,100,0,wfc|me_time|date|family,wifi|power_outlet|parking|quiet_atmosphere|outdoor_area,517
ChIJt1zAsZ_daC4RYHdM4fKLf9o,pawon coffee,0,0,0,0,0,,,3
ChIJ1yA0dOfdaC4RdNt698MCOmc,Philoe coffee roastery,0,90,0,68,0,me_time|family,quiet_atmosphere,578
ChIJ50i9L0jmaC4Rqk52CdQ8Jhc,Pillow Cafe,68,100,100,100,68,me_time|date|family|wfc|group_study,mushola|parking|quiet_atmosphere|kid_friendly,1155
ChIJdQphNj3naC4RSXEX_y-MMbM,Pinoes Coffee,0,0,0,0,0,,,137
ChIJuwM1fwDDaC4Rm9gLnCyT_xc,Pinus Lambada Cafe,0,0,0,0,0,,,1
ChIJEXMlh8LnaC4RzrLvq8ghjLs,Pit Stop Cafe,0,0,0,0,0,,,1
ChIJB1sxmxHnaC4RWyioQqkEzoQ,Point Cafe Ahmad Yani 806,0,90,68,100,0,family|me_time|date,parking,555
ChIJmRWb-k3naC4RiqzyZSBhMik,Point Cafe Ciumbuleuit,0,0,68,0,0,date,parking,252
ChIJHX8kWRrnaC4R2wSs1uXlksQ,Point Cafe Dipatiukur,68,0,0,0,68,wfc|group_study,,584
ChIJ-ctEXP7naC4RTtcuqWuGKdk,Point Cafe Pasteur 78,0,0,0,0,0,,outdoor_area,384
ChIJ32qenFLnaC4Rdk3oLGXPh9I,Point Cafe Stasiun Bandung,68,0,0,0,0,wfc,,504
ChIJE_hFBIbdaC4ReUtMLIAyzgM,Point Cafe Ujung Berung 61,0,68,0,68,90,group_study|me_time|family,parking,640
ChIJk-NUJ77daC4R2xghafoMp5k,Point Coffee,50,50,0,50,0,wfc|me_time|family,,445
ChIJPfAJadDFaC4RDgnG6iTvKo8,Point Coffee,0,0,0,0,0,,,49
ChIJ0ZWsRcjDaC4RNrsmm9hybeM,Point Coffee Rest Area km 149,0,0,68,68,0,date|family,,281
ChIJB3srZzfDaC4RxH8p0mJg_ew,Pojok Tilu TIlu,0,100,90,100,68,me_time|family|date|group_study,mushola|parking|quiet_atmosphere|outdoor_area,1460
ChIJwf40x27DaC4Ra8EUarf1RUs,POLA coffee,0,0,0,0,0,,,1
ChIJd0V3ok_daC4RlELlqL_E9es,Pondok Kreatif Cisaranten,68,68,0,0,0,wfc|me_time,,42
ChIJjYxO25bnaC4RqCWWaL05NaY,Pote Cafe,0,0,0,0,0,,,102
ChIJmTucQO_maC4R_0ZYsopapGI,Progresif Cafe,0,0,0,0,0,,,2
ChIJ5_JXPXHpaC4RJm5TWmicKOI,"PROJECT SPACE - COFFEE, COWORKING SPACE & EVENT SPACE",100,100,90,100,100,wfc|me_time|family|group_study|date,wifi|power_outlet|mushola|parking|quiet_atmosphere,1534
ChIJgSmOOTfnaC4R0LhlL5TDShY,PT Jaad Food Indonesia,0,0,0,0,0,,,461
ChIJr-WH-nnpaC4RG7tiH0OXx4Q,PT Ruang Rindu Koffie,0,0,0,0,0,,,12
ChIJ12G6PQDDaC4RLes-oznWYDg,PT TELESYS INDONESIA,0,0,0,0,0,,,1
ChIJz3z2kHvdaC4ReCjh9583Ns8,PULUNG Art Café,68,100,68,68,0,me_time|wfc|date|family,wifi|quiet_atmosphere,344
ChIJx-fHQEHnaC4RgUm_4aL_z8E,Qual Coffee 2.0,0,68,68,0,0,me_time|date,,69
ChIJT-rXy0fnaC4RjNZ6NAvzoSE,Rajawali Cafe Bandung,0,0,0,0,0,,,1
ChIJT8YilaLpaC4RY_gVaEhXa0A,Rajut pelangi store,0,0,0,0,0,,,1
ChIJp78GgO_naC4RGZeU4zP4YOc,Ramayana Cafe,90,0,0,0,0,wfc,wifi,29
ChIJ6Vgm01XnaC4RMxvOKn66hps,Ran's Cafe,0,0,0,0,0,,,1
ChIJ-dxO8OzpaC4R43q5ly1e3kw,Rasain Cafe,0,0,0,0,0,,,14
ChIJ1zJM5CTDaC4RAyZAvJyuUlM,RedDoorz Cafe Almuawanah,0,0,0,0,0,,,1
